travail 1314733,NOUN,HAS_EXAMPLE
commune 142806,ADJECTIVE
arrêter 140573,VERB
sérieux 140067,ADJECTIVE
simples 138812,ADJECTIVE
progrès 138711,NOUN
ajouter 139630,VERB
enquête 138415,NOUN
extrême 136932,ADJECTIVE
attente 136349,NOUN
machine 135084,NOUN,HAS_EXAMPLE
montant 135247,ADJECTIVE
utilisé 133879,ADJECTIVE
version 133394,NOUN
conflit 133679,NOUN
acheter 133314,VERB
logique 132691,ADJECTIVE,HAS_EXAMPLE
écouter 133103,VERB,HAS_EXAMPLE
hôpital 130669,NOUN
marcher 133370,VERB,HAS_EXAMPLE
soudain 130384,ADJECTIVE
interne 131242,ADJECTIVE,HAS_EXAMPLE
concept 128989,NOUN
réserve 129468,NOUN,HAS_EXAMPLE
secours 128626,NOUN
retenir 128297,VERB,HAS_EXAMPLE
anglais 127237,ADJECTIVE,HAS_EXAMPLE
dessous 126744,ADVERB
réunion 125108,NOUN
douceur 124484,NOUN
établir 124679,VERB
lecteur 123673,NOUN
patient 122972,ADJECTIVE
crainte 122708,NOUN
demeure 122188,NOUN
surpris 121990,ADJECTIVE
paysage 121501,NOUN
formule 121523,NOUN,HAS_EXAMPLE
rivière 120168,NOUN
capital 118755,ADJECTIVE,HAS_EXAMPLE
complet 118505,ADJECTIVE
tension 117603,NOUN,HAS_EXAMPLE
adresse 117187,NOUN,HAS_EXAMPLE
rupture 116605,NOUN
horizon 116046,NOUN
section 114837,NOUN
évident 113683,ADJECTIVE,HAS_EXAMPLE
chemise 112790,NOUN
parfait 112489,ADJECTIVE,HAS_EXAMPLE
vigueur 112402,NOUN
poisson 111110,NOUN,HAS_EXAMPLE
malheur 110729,NOUN,HAS_EXAMPLE
envoyer 110200,VERB
indique 110361,ADJECTIVE
inverse 109728,ADJECTIVE
épreuve 109311,NOUN
cabinet 108095,NOUN
coucher 107972,NOUN,HAS_EXAMPLE
proches 107888,ADJECTIVE
pleurer 107587,VERB
réduire 107670,VERB,HAS_EXAMPLE
planète 107281,NOUN
humains 106975,ADJECTIVE
urgence 107108,NOUN,HAS_EXAMPLE
horreur 106731,NOUN,HAS_EXAMPLE
artiste 106016,NOUN
glisser 104489,VERB,HAS_EXAMPLE
inutile 104392,ADJECTIVE
morceau 104121,NOUN,HAS_EXAMPLE
sachant 104031,NOUN
relever 103995,VERB
avancer 103265,VERB,HAS_EXAMPLE
central 101211,ADJECTIVE
feuille 100693,NOUN
essence 99169,NOUN
pousser 98363,VERB,HAS_EXAMPLE
décider 98867,VERB,HAS_EXAMPLE
plafond 97661,NOUN
locales 97754,ADJECTIVE
réforme 97389,NOUN
fatigue 96625,NOUN,HAS_EXAMPLE
mélange 96263,NOUN
traiter 95348,VERB,HAS_EXAMPLE
ouverte 95450,ADJECTIVE
inconnu 94899,ADJECTIVE,HAS_EXAMPLE
adultes 94103,ADJECTIVE
couteau 94389,NOUN
préféré 93377,ADJECTIVE
définir 92912,VERB
partage 91490,NOUN,HAS_EXAMPLE
cellule 91591,NOUN
attendu 90936,ADJECTIVE,HAS_EXAMPLE
visible 90754,ADJECTIVE
fournir 90610,VERB,HAS_EXAMPLE
manteau 90505,NOUN,HAS_EXAMPLE
visiter 89828,VERB,HAS_EXAMPLE
liquide 89622,ADJECTIVE
dizaine 89358,NOUN
intense 89044,ADJECTIVE
prouver 89200,VERB
moyenne 88549,ADJECTIVE
composé 88361,NOUN
retirer 87399,VERB,HAS_EXAMPLE
plateau 87190,NOUN
monnaie 86975,NOUN,HAS_EXAMPLE
étudier 86281,VERB
chapeau 85339,NOUN
précise 85461,ADJECTIVE
sagesse 85290,NOUN
remplir 85011,VERB,HAS_EXAMPLE
curieux 84666,ADJECTIVE,HAS_EXAMPLE
directe 84507,ADJECTIVE
accéder 84082,VERB
exercer 84051,VERB,HAS_EXAMPLE
parlant 84019,ADJECTIVE,HAS_EXAMPLE
collège 83798,NOUN
chagrin 83521,ADJECTIVE
absolue 82977,ADJECTIVE
réussir 82424,VERB,HAS_EXAMPLE
chanson 82134,NOUN
attirer 82027,VERB
costume 81483,NOUN
honnête 81353,ADJECTIVE,HAS_EXAMPLE
mystère 81635,NOUN
poignée 81359,NOUN
frapper 80843,VERB,HAS_EXAMPLE
confort 80669,NOUN
libérer 80524,VERB
meurtre 80510,NOUN
magasin 80051,NOUN,HAS_EXAMPLE
atelier 79987,NOUN
station 79874,NOUN
refuser 79632,VERB
reposer 79559,VERB
pauvres 79164,ADJECTIVE
annonce 78781,NOUN
maximum 78470,NOUN
ramener 77668,VERB,HAS_EXAMPLE
positif 77280,ADJECTIVE
décrire 76765,VERB
symbole 76610,NOUN
automne 76348,NOUN
estomac 75873,NOUN
salaire 75314,NOUN
manquer 74961,VERB,HAS_EXAMPLE,INF
panique 75071,ADJECTIVE,HAS_EXAMPLE
durable 74859,ADJECTIVE,HAS_EXAMPLE
nerveux 74833,ADJECTIVE,HAS_EXAMPLE
chiffre 74805,NOUN
terreur 74822,NOUN,HAS_EXAMPLE
nourrir 74399,VERB
révéler 73687,VERB
voisine 73889,ADJECTIVE
parking 73452,NOUN
espérer 73351,VERB,HAS_EXAMPLE
piscine 73308,NOUN
liaison 72551,NOUN
facteur 72067,NOUN
répéter 71632,VERB
sauvage 71583,ADJECTIVE,HAS_EXAMPLE
dignité 71573,NOUN
colonel 71385,NOUN
spécial 71319,ADJECTIVE
faculté 70754,NOUN
faibles 70358,ADJECTIVE
colonne 70473,NOUN
peintre 70284,NOUN
branche 70257,NOUN
trouble 70272,ADJECTIVE
épisode 69956,NOUN,HAS_EXAMPLE
exister 69797,VERB
sombres 69527,ADJECTIVE
utilité 69037,NOUN,HAS_EXAMPLE
remonte 68678,NOUN
diriger 68531,VERB,HAS_EXAMPLE
malades 67959,ADJECTIVE
salarié 67641,ADJECTIVE
magique 67397,ADJECTIVE,HAS_EXAMPLE
abandon 67395,NOUN,HAS_EXAMPLE
vivante 67009,ADJECTIVE
relatif 67047,ADJECTIVE,HAS_EXAMPLE
gratuit 66905,ADJECTIVE,HAS_EXAMPLE
suprême 66753,ADJECTIVE
adopter 66379,VERB
fromage 65837,NOUN,HAS_EXAMPLE
imposer 66010,VERB,HAS_EXAMPLE
globale 65441,ADJECTIVE
superbe 65272,ADJECTIVE
mention 65105,NOUN
associé 64914,NOUN
chinois 64831,ADJECTIVE
sincère 64803,ADJECTIVE
monstre 64787,ADJECTIVE
gravité 64726,NOUN,HAS_EXAMPLE
majeure 64613,ADJECTIVE
étendue 64545,NOUN
tempête 64505,NOUN
miracle 64022,NOUN
pension 63971,NOUN,HAS_EXAMPLE
concert 63738,NOUN
antique 63681,ADJECTIVE
retrait 63827,NOUN
cadavre 63613,NOUN
mentale 63402,ADJECTIVE
fraîche 63330,ADJECTIVE
modeste 63444,ADJECTIVE
évaluer 63265,VERB
marquis 63107,NOUN
galerie 62973,NOUN
colline 62950,NOUN,HAS_EXAMPLE
fiction 62901,NOUN
chanter 62664,VERB,HAS_EXAMPLE
normale 62541,ADJECTIVE
éditeur 62410,NOUN
aveugle 62298,ADJECTIVE,HAS_EXAMPLE
comédie 62086,NOUN,HAS_EXAMPLE
inquiet 62309,ADJECTIVE
confier 61960,VERB,HAS_EXAMPLE
occuper 62089,VERB,HAS_EXAMPLE
médical 61675,ADJECTIVE
matinée 61674,NOUN,HAS_EXAMPLE
ampleur 61657,NOUN
furieux 61574,ADJECTIVE
ignorer 61440,VERB
paradis 61398,NOUN
content 61433,ADJECTIVE
chasser 61319,VERB,HAS_EXAMPLE
évoquer 61162,VERB
mesurer 61006,VERB,HAS_EXAMPLE
mondial 60547,ADJECTIVE
pensant 60233,ADJECTIVE,HAS_EXAMPLE
citoyen 60124,ADJECTIVE
fragile 59964,ADJECTIVE
légende 60067,NOUN
deviner 59923,VERB
admirer 59919,VERB
secrets 59768,ADJECTIVE
restant 59749,ADJECTIVE
experts 59599,ADJECTIVE
chargée 59559,ADJECTIVE
réservé 59177,ADJECTIVE
posture 58979,NOUN
féminin 58835,ADJECTIVE
aborder 58717,VERB
déposer 58663,VERB,HAS_EXAMPLE
minimum 58619,NOUN
éthique 58564,ADJECTIVE
hommage 58544,NOUN,HAS_EXAMPLE
communs 58415,ADJECTIVE
chômage 58194,NOUN,HAS_EXAMPLE
étroite 58014,ADJECTIVE
séparer 58096,VERB
sortant 57958,ADJECTIVE,HAS_EXAMPLE
limiter 57884,VERB
plainte 57830,NOUN
prévoir 57566,VERB
divorce 57176,NOUN
tromper 57110,VERB,HAS_EXAMPLE
attaque 56754,NOUN
indiqué 56252,ADJECTIVE
rigueur 56189,NOUN
attaché 56011,ADJECTIVE
aimable 55930,ADJECTIVE,HAS_EXAMPLE
récente 55499,ADJECTIVE
reprise 55384,NOUN,HAS_EXAMPLE
rentrée 55365,NOUN,HAS_EXAMPLE
malaise 55270,ADJECTIVE
violent 55069,ADJECTIVE
italien 55060,ADJECTIVE
enlever 54332,VERB,HAS_EXAMPLE
dommage 54318,NOUN,HAS_EXAMPLE
couvrir 54252,VERB
esclave 54279,NOUN
repérer 54166,VERB
veiller 54157,VERB
dégager 54040,VERB
révolte 53873,NOUN
énormes 53633,ADJECTIVE
recueil 53286,NOUN
égalité 52895,NOUN
constat 52589,NOUN
falloir 52581,VERB,HAS_EXAMPLE
portail 52171,NOUN,HAS_EXAMPLE
urbaine 52050,ADJECTIVE
morales 51742,ADJECTIVE
édifice 51833,NOUN
secrète 51637,ADJECTIVE
partant 51488,ADJECTIVE,HAS_EXAMPLE
épouser 51377,VERB
soigner 51092,VERB
grecque 51036,ADJECTIVE
balance 50914,NOUN
orgueil 50859,NOUN,HAS_EXAMPLE
fameuse 50763,ADJECTIVE
support 50653,NOUN
partagé 50539,ADJECTIVE,HAS_EXAMPLE
bizarre 50405,ADJECTIVE,HAS_EXAMPLE
coutume 50286,NOUN
cuisson 50310,NOUN
négatif 49984,ADJECTIVE,HAS_EXAMPLE
suicide 49990,NOUN
frisson 49970,NOUN
emmener 49616,VERB
poignet 49802,NOUN
soutenu 48896,ADJECTIVE,HAS_EXAMPLE
battant 48797,ADJECTIVE,HAS_EXAMPLE
absurde 48471,ADJECTIVE
limitée 48449,ADJECTIVE
grosses 48501,ADJECTIVE
évoluer 48423,VERB,HAS_EXAMPLE
échappé 47958,NOUN
variété 47896,NOUN
couvert 47503,ADJECTIVE
pénible 47496,ADJECTIVE
auberge 46768,NOUN
engager 46708,VERB
requête 46639,NOUN
ouverts 46042,ADJECTIVE
verrons 46154,VERB
privées 46140,ADJECTIVE
réparer 45582,VERB
notaire 45343,NOUN
croiser 45194,VERB,HAS_EXAMPLE
romaine 44749,ADJECTIVE
boisson 44427,NOUN,HAS_EXAMPLE
entrant 44418,ADJECTIVE,HAS_EXAMPLE
ressort 44350,NOUN
critère 44256,NOUN,HAS_EXAMPLE
employé 44095,NOUN
assisté 44045,NOUN
prirent 43876,VERB
défaite 43822,NOUN
serment 43610,NOUN,HAS_EXAMPLE
serrant 43371,ADJECTIVE
prudent 43292,ADJECTIVE
gardien 43258,NOUN
pleines 43231,ADJECTIVE
plonger 42943,VERB,HAS_EXAMPLE
fidèles 42896,ADJECTIVE
procédé 42878,NOUN,HAS_EXAMPLE
charité 42712,NOUN
initial 42728,ADJECTIVE
serpent 42665,NOUN
accordé 42591,ADJECTIVE
informé 42457,ADJECTIVE,HAS_EXAMPLE
baisser 42300,VERB
circuit 42284,NOUN
vivants 42136,ADJECTIVE
externe 42019,ADJECTIVE
vendeur 41792,ADJECTIVE
sentier 41686,NOUN,HAS_EXAMPLE
fiscale 41420,ADJECTIVE
fantôme 41380,NOUN,HAS_EXAMPLE
clôture 41376,NOUN
rapides 41217,ADJECTIVE
couvent 41260,NOUN
protégé 41073,ADJECTIVE
marquer 40947,VERB,HAS_EXAMPLE
grandir 40975,VERB,HAS_EXAMPLE
appétit 40911,NOUN
panneau 40792,NOUN
ouvrier 40770,ADJECTIVE,HAS_EXAMPLE
torture 40733,NOUN
éternel 40735,ADJECTIVE
grimace 40593,NOUN
parvenu 40473,ADJECTIVE
cession 40461,NOUN
délicat 40508,ADJECTIVE
assumer 40410,VERB,HAS_EXAMPLE
velours 40219,NOUN
colonie 40303,NOUN
matelas 40119,NOUN
recette 40003,NOUN
diplôme 39996,NOUN
camping 39997,NOUN
hésiter 39958,VERB,HAS_EXAMPLE
murmure 39956,NOUN
publier 39628,VERB
revenue 39606,NOUN
dessein 39394,NOUN
sixième 39277,ADJECTIVE
tombeau 39153,NOUN
refaire 39137,VERB,HAS_EXAMPLE
offrant 39056,ADJECTIVE,HAS_EXAMPLE
ordonné 39036,ADJECTIVE
détente 38755,NOUN
discret 38566,ADJECTIVE
remords 38816,NOUN,HAS_EXAMPLE
élevage 38486,NOUN
bouquet 38145,NOUN
traîner 37890,VERB,HAS_EXAMPLE
tentant 37847,ADJECTIVE
éclater 37735,VERB
injuste 37679,ADJECTIVE
brusque 37622,ADJECTIVE
reculer 37462,VERB
dépassé 37403,ADJECTIVE
parquet 37166,NOUN,HAS_EXAMPLE
cousine 37136,NOUN,HAS_EXAMPLE
méchant 37080,ADJECTIVE,HAS_EXAMPLE
solaire 36993,ADJECTIVE
charbon 36982,NOUN
inviter 37014,VERB
lourdes 36956,ADJECTIVE
sourcil 36968,NOUN
anxiété 36411,NOUN
pétrole 36408,NOUN
effacer 36125,VERB
éclairé 35970,ADJECTIVE
écarter 36102,VERB,HAS_EXAMPLE
voyager 35888,VERB
fatigué 35833,ADJECTIVE
réclame 35583,NOUN
exposer 35620,VERB
planche 35385,NOUN
drapeau 35217,NOUN
réflexe 35268,ADJECTIVE
serveur 35059,NOUN
fichier 35016,NOUN
réelles 35011,ADJECTIVE
placard 35051,NOUN
risquer 34673,VERB,HAS_EXAMPLE
civiles 34741,ADJECTIVE
claires 34518,ADJECTIVE
anonyme 34458,ADJECTIVE
fausses 34329,ADJECTIVE
matrice 34294,NOUN
quelles 34213,ADJECTIVE
prévenu 34206,ADJECTIVE,HAS_EXAMPLE
valable 34118,ADJECTIVE
congrès 34083,NOUN
sexuels 33931,ADJECTIVE
faciles 33804,ADJECTIVE
préface 33765,NOUN,HAS_EXAMPLE
nullité 33777,NOUN
parenté 33721,NOUN,HAS_EXAMPLE
retenue 33615,NOUN
hostile 33605,ADJECTIVE
dresser 33562,VERB,HAS_EXAMPLE
formant 33527,NOUN
dessert 33134,NOUN
créance 33067,NOUN
apaiser 32854,VERB
densité 32832,NOUN
charger 32676,VERB
culotte 32643,NOUN,HAS_EXAMPLE
stupide 32328,ADJECTIVE
disposé 32345,ADJECTIVE
portion 32251,NOUN
intimes 32159,ADJECTIVE
cristal 32181,NOUN
avancée 31956,ADJECTIVE
aboutir 31955,VERB
déficit 31913,NOUN
servant 31875,NOUN
porteur 31880,ADJECTIVE,HAS_EXAMPLE
épaisse 31780,ADJECTIVE
affiche 31772,NOUN
brûlant 31756,ADJECTIVE
humides 31728,ADJECTIVE
tournée 31623,NOUN
largeur 31574,NOUN,HAS_EXAMPLE
détenus 31495,ADJECTIVE
collier 31448,NOUN
assurée 31445,ADJECTIVE
opposer 31367,VERB
offerte 31312,NOUN,HAS_EXAMPLE
adoptée 31283,NOUN,HAS_EXAMPLE
asseoir 31117,VERB,HAS_EXAMPLE
brutale 31123,ADJECTIVE
affreux 31093,ADJECTIVE
élégant 31001,ADJECTIVE
baptême 31069,NOUN
spectre 30996,NOUN,HAS_EXAMPLE
courtes 31006,ADJECTIVE
éloigné 30867,ADJECTIVE
pasteur 30827,NOUN
combler 30844,VERB
chaudes 30728,ADJECTIVE
attrape 30629,NOUN
propice 30520,ADJECTIVE
sportif 30478,ADJECTIVE
croyant 30552,ADJECTIVE,HAS_EXAMPLE
adapter 30381,VERB
creuser 30399,VERB
respire 30179,NOUN
joyeuse 30160,ADJECTIVE
grimper 30130,VERB
blesser 30076,VERB,HAS_EXAMPLE
tutelle 30029,NOUN
arbitre 30009,NOUN
sublime 29975,ADJECTIVE
caresse 29967,NOUN
précoce 29918,ADJECTIVE,HAS_EXAMPLE
haleine 29919,NOUN
appuyer 29853,VERB
falaise 29821,NOUN
sergent 29763,NOUN
céleste 29615,ADJECTIVE
séduire 29513,VERB
futures 29474,ADJECTIVE
carbone 29490,NOUN
fédéral 29411,ADJECTIVE
achever 29322,VERB
rejeter 29216,VERB
habiter 29148,VERB,HAS_EXAMPLE
craquer 29011,VERB,HAS_EXAMPLE
défaire 28924,VERB,HAS_EXAMPLE
plongée 28881,NOUN
vertige 28861,NOUN
rédiger 28862,VERB
cruauté 28840,NOUN
routine 28636,NOUN
loyauté 28632,NOUN
massive 28523,ADJECTIVE
habitat 28489,NOUN
pervers 28390,ADJECTIVE
exposés 28425,ADJECTIVE
récents 28386,ADJECTIVE
souhait 28251,NOUN
censure 28237,NOUN
cortège 28255,NOUN
actuels 28182,ADJECTIVE
berceau 28052,NOUN
cruelle 28033,ADJECTIVE
serrure 28022,NOUN
fardeau 27977,NOUN
glacial 27929,ADJECTIVE
pencher 27914,VERB,HAS_EXAMPLE
session 27903,NOUN
montage 27880,NOUN
typique 27846,ADJECTIVE
lenteur 27829,NOUN
emprise 27747,NOUN
serions 27741,VERB
libéral 27788,ADJECTIVE
courbes 27683,ADJECTIVE
sursaut 27680,NOUN,HAS_EXAMPLE
figurer 27657,VERB
habitué 27651,NOUN
planter 27635,VERB
soupçon 27631,NOUN,HAS_EXAMPLE
estimer 27550,VERB,HAS_EXAMPLE
horloge 27399,NOUN,HAS_EXAMPLE
récolte 27403,NOUN
stupeur 27224,NOUN
facture 27206,NOUN
soucier 27152,VERB,HAS_EXAMPLE
cravate 27149,NOUN
dépense 27167,NOUN
guitare 27035,NOUN
extrait 26907,ADJECTIVE
désirer 26889,VERB,HAS_EXAMPLE
animale 26805,ADJECTIVE
défendu 26726,ADJECTIVE,HAS_EXAMPLE
égoïste 26691,ADJECTIVE
briller 26617,VERB
hygiène 26576,NOUN
dispute 26736,NOUN
déduire 26543,VERB
manager 26532,NOUN
complot 26527,NOUN
poussée 26533,NOUN
urbains 26499,ADJECTIVE
allumer 26527,VERB,HAS_EXAMPLE
orgasme 26329,NOUN,HAS_EXAMPLE
caution 26294,NOUN
licence 26271,NOUN
émerger 26243,VERB
miennes 26141,ADJECTIVE
décisif 26088,ADJECTIVE
finesse 26018,NOUN
radical 25969,ADJECTIVE,HAS_EXAMPLE
emprunt 26057,NOUN
continu 25828,ADJECTIVE
tranche 25757,NOUN,HAS_EXAMPLE
assises 25406,ADJECTIVE
cascade 25369,NOUN
tombant 25057,ADJECTIVE
optique 24970,ADJECTIVE
bouffée 24904,NOUN,HAS_EXAMPLE
résumer 24836,VERB,HAS_EXAMPLE
vitrine 24826,NOUN,HAS_EXAMPLE
parlais 24821,VERB
armoire 24791,NOUN
défiler 24733,VERB,HAS_EXAMPLE
concile 24664,NOUN
amusant 24695,ADJECTIVE
dominer 24576,VERB
fiancée 24431,NOUN
finance 24427,NOUN
avertir 24300,VERB
épargne 24256,NOUN
envahir 24239,VERB,HAS_EXAMPLE
épuisée 24203,ADJECTIVE
oeuvres 24233,NOUN
besogne 24146,NOUN,HAS_EXAMPLE
gouffre 24132,NOUN
notable 24040,ADJECTIVE
exécuté 24006,ADJECTIVE
terroir 23917,NOUN,HAS_EXAMPLE
siennes 23867,ADJECTIVE
comique 23848,ADJECTIVE
barrage 23744,NOUN
mélodie 23766,NOUN
ajoutée 23676,ADJECTIVE
comparé 23660,ADJECTIVE
ivresse 23620,NOUN,HAS_EXAMPLE
vampire 23579,NOUN
grenier 23539,NOUN,HAS_EXAMPLE
maillot 23474,NOUN,HAS_EXAMPLE
attrait 23466,NOUN
partiel 23389,ADJECTIVE
bordure 23306,NOUN
majesté 23207,NOUN
stricte 23215,ADJECTIVE
légales 23123,ADJECTIVE
honorer 23012,VERB
bâtisse 23088,NOUN
verdure 22956,NOUN
fermeté 22945,NOUN
écraser 22754,VERB
inciter 22693,VERB
dévorer 22702,VERB
directs 22629,ADJECTIVE
sembler 22451,VERB,HAS_EXAMPLE
masquer 22435,VERB
claquer 22399,VERB,HAS_EXAMPLE
vecteur 22424,ADJECTIVE
évasion 22369,NOUN
égoïsme 22359,NOUN
déserte 22325,ADJECTIVE
surplus 22232,NOUN
générer 22165,VERB
évacuer 22143,VERB
secouer 22063,VERB
entamer 22075,VERB,HAS_EXAMPLE
chariot 22030,NOUN,HAS_EXAMPLE
tardive 21987,ADJECTIVE
blessée 22025,ADJECTIVE
verbale 21892,ADJECTIVE
légères 21836,ADJECTIVE
monture 21807,NOUN
diocèse 21706,NOUN
obscure 21665,ADJECTIVE
répandu 21640,ADJECTIVE
marteau 21617,ADJECTIVE
arraché 21660,ADJECTIVE
musical 21471,ADJECTIVE,HAS_EXAMPLE
mosquée 21456,NOUN
femelle 21402,ADJECTIVE
endormi 21292,ADJECTIVE,HAS_EXAMPLE
obliger 21330,VERB,HAS_EXAMPLE,INF
sorcier 21295,NOUN
presser 21250,VERB
caverne 21277,NOUN
connard 21212,NOUN
graisse 21170,NOUN
invitée 21195,ADJECTIVE
brigade 21156,NOUN
indigne 21051,ADJECTIVE
funeste 21047,ADJECTIVE
sillage 21036,NOUN,HAS_EXAMPLE
hurlant 21011,ADJECTIVE
rêverie 20957,NOUN
relâche 20947,NOUN
froides 20874,ADJECTIVE
vacarme 20642,NOUN
clavier 20649,NOUN
torrent 20592,NOUN
vanille 20587,NOUN
accuser 20534,VERB
exposée 20534,ADJECTIVE
absente 20535,ADJECTIVE
concret 20257,ADJECTIVE
tribune 20155,NOUN
taureau 20132,NOUN,HAS_EXAMPLE
diamant 20013,NOUN
ancrage 20022,NOUN
rurales 19842,ADJECTIVE
sombrer 19836,VERB,HAS_EXAMPLE
